------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        2.9805825e-14
         0.071428571,        4.6947809e-13
          0.14285714,        7.3864823e-12
          0.21428571,        1.1524662e-10
          0.28571429,        1.7582018e-09
          0.35714286,        2.4933941e-08
          0.42857143,        2.5290977e-07
                 0.5,        1.2423937e-06
          0.57142857,        3.3097827e-06
          0.64285714,        6.1189574e-06
          0.71428571,        9.5637492e-06
          0.78571429,        1.3624239e-05
          0.85714286,        1.8113341e-05
          0.92857143,        2.1928729e-05
                   1,        2.9503885e-05

