------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,         2.202596e-17
         0.071428571,        4.5760493e-16
          0.14285714,         7.078042e-15
          0.21428571,        1.1141466e-13
          0.28571429,        1.2754161e-12
          0.35714286,         2.037614e-11
          0.42857143,        3.9789868e-10
                 0.5,        5.5915284e-09
          0.57142857,        7.7002768e-08
          0.64285714,        2.6144409e-07
          0.71428571,        7.9704564e-07
          0.78571429,        2.4930879e-06
          0.85714286,        3.8682426e-06
          0.92857143,         5.427154e-06
                   1,        8.4804347e-06

