------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,        6.3131168e-06
       -0.0717948718,       8.81626237e-06
       -0.0435897436,       1.22977439e-05
       -0.0153846154,       1.69922091e-05
        0.0128205128,       2.29821685e-05
         0.041025641,       3.01766966e-05
        0.0692307692,       3.83182411e-05
        0.0974358974,       4.70550968e-05
         0.125641026,       5.60564508e-05
         0.153846154,        6.5046162e-05
         0.182051282,       7.38244004e-05
          0.21025641,       8.22922709e-05
         0.238461538,       9.04171344e-05
         0.266666667,       9.81923017e-05
         0.294871795,       0.000105624113
         0.323076923,       0.000112676986
         0.351282051,       0.000119399853
         0.379487179,       0.000125840624
         0.407692308,       0.000132001712
         0.435897436,       0.000137931488
         0.464102564,       0.000143640715
         0.492307692,       0.000149156978
         0.520512821,       0.000154502578
         0.548717949,       0.000159698418
         0.576923077,        0.00016476481
         0.605128205,       0.000169681124
         0.633333333,       0.000174498084
         0.661538462,       0.000179228538
          0.68974359,       0.000183870357
         0.717948718,        0.00018842106
         0.746153846,       0.000192888573
         0.774358974,         0.0001972934
         0.802564103,       0.000201655103
         0.830769231,       0.000205985309
         0.858974359,       0.000210275946
         0.887179487,       0.000214505508
         0.915384615,       0.000218713292
         0.943589744,        0.00022289992
         0.957692308,       0.000224987295
          0.96474359,       0.000226027314
         0.971794872,       0.000227069007
                   1,       0.000231203122

------------------------------------------------------------
 Current - Vd = 0.1625 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,       2.08545584e-05
       -0.0717948718,       2.65043543e-05
       -0.0435897436,       3.39077695e-05
       -0.0153846154,       4.32491168e-05
        0.0128205128,       5.48313948e-05
         0.041025641,       6.87159184e-05
        0.0692307692,       8.47404672e-05
        0.0974358974,       0.000102486065
         0.125641026,       0.000121298852
         0.153846154,       0.000140420066
         0.182051282,       0.000159165316
          0.21025641,       0.000177038383
         0.238461538,        0.00019383057
         0.266666667,       0.000209462532
         0.294871795,        0.00022407556
         0.323076923,       0.000237827291
         0.351282051,       0.000250857644
         0.379487179,       0.000263288009
         0.407692308,       0.000275214448
         0.435897436,       0.000286715446
         0.464102564,       0.000297803167
         0.492307692,       0.000308568271
         0.506410256,       0.000313838675
         0.520512821,       0.000319039379
         0.548717949,       0.000329228658
         0.576923077,       0.000339140662
         0.605128205,       0.000348794107
         0.633333333,       0.000358190789
         0.661538462,       0.000367333247
          0.68974359,        0.00037622515
         0.717948718,       0.000384865639
         0.746153846,       0.000393263608
         0.774358974,       0.000401385409
         0.802564103,       0.000409244906
         0.830769231,       0.000416836202
         0.858974359,       0.000424191016
         0.887179487,       0.000431313662
         0.915384615,       0.000438203112
         0.943589744,       0.000444858923
         0.971794872,       0.000451275489
                   1,       0.000457464575

------------------------------------------------------------
 Current - Vd = 0.275 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,       5.04714584e-05
       -0.0717948718,       5.97917727e-05
       -0.0435897436,       7.08109174e-05
       -0.0153846154,       8.37765728e-05
        0.0128205128,       9.85534185e-05
         0.041025641,       0.000115210614
        0.0692307692,       0.000133534986
        0.0974358974,       0.000153117451
         0.125641026,       0.000173353843
         0.153846154,       0.000193730986
         0.182051282,       0.000213757658
          0.21025641,       0.000233135877
         0.238461538,       0.000251748962
         0.266666667,        0.00026978595
         0.294871795,       0.000287450661
         0.323076923,       0.000304919934
         0.351282051,       0.000322246094
         0.379487179,        0.00033938936
         0.407692308,       0.000356228189
         0.435897436,       0.000372659798
         0.464102564,       0.000388629256
         0.492307692,       0.000404070102
         0.520512821,       0.000418967509
         0.548717949,       0.000433339934
         0.576923077,       0.000447232608
         0.605128205,       0.000460699064
         0.633333333,       0.000473767011
         0.661538462,        0.00048650549
          0.68974359,        0.00049893826
         0.717948718,       0.000511099027
         0.746153846,       0.000522936887
         0.774358974,       0.000534489518
         0.802564103,       0.000545775063
         0.830769231,       0.000556786896
         0.858974359,       0.000567519825
         0.887179487,       0.000577970573
         0.915384615,       0.000588136866
         0.943589744,       0.000598017812
         0.971794872,       0.000607599125
                   1,       0.000616860022

------------------------------------------------------------
 Current - Vd = 0.3875 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.1,       9.60252575e-05
       -0.0717948718,        0.00010785316
       -0.0435897436,       0.000121137468
       -0.0153846154,       0.000135886229
        0.0128205128,       0.000152239038
         0.041025641,       0.000169962558
        0.0480769231,       0.000174600453
        0.0551282051,       0.000179313253
        0.0692307692,       0.000188931827
        0.0833333333,       0.000198764049
        0.0974358974,       0.000208745799
        0.0991987179,       0.000209998967
         0.100961538,       0.000211253713
         0.104487179,       0.000213766556
         0.111538462,       0.000218800722
         0.113301282,       0.000220060777
         0.115064103,       0.000221321272
         0.118589744,       0.000223843371
         0.125641026,       0.000228887437
          0.13974359,       0.000238958399
         0.153846154,       0.000248977134
         0.167948718,       0.000258896717
               0.175,       0.000263815031
         0.182051282,       0.000268709737
          0.21025641,       0.000288059473
         0.238461538,       0.000307114051
         0.266666667,       0.000326082354
         0.294871795,       0.000345131874
         0.323076923,       0.000364401399
         0.351282051,       0.000383969047
         0.379487179,       0.000403858731
         0.407692308,       0.000424058093
         0.435897436,       0.000444492228
         0.464102564,       0.000465097091
         0.492307692,        0.00048573158
         0.520512821,       0.000506307888
         0.548717949,       0.000526651858
         0.576923077,       0.000546653709
         0.605128205,       0.000566201998
         0.633333333,       0.000585215281
         0.661538462,       0.000603636109
          0.68974359,       0.000621404615
         0.717948718,       0.000638511711
         0.746153846,       0.000654981974
         0.774358974,       0.000670866433
         0.802564103,       0.000686189228
         0.830769231,       0.000701031636
         0.858974359,       0.000715440256
