------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        5.6480867e-17
                0.05,        3.6090207e-16
                 0.1,        2.6009028e-15
                0.15,         1.891973e-14
                 0.2,        1.3257241e-13
                0.25,        9.2256355e-13
                 0.3,        6.3898857e-12
                0.35,        4.4122071e-11
                 0.4,        3.0521883e-10
                0.45,        2.0865687e-09
                 0.5,        1.3725642e-08
                0.55,        7.7040858e-08
                 0.6,        3.1383694e-07

