------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        2.9805825e-14
                0.05,        2.0548642e-13
                 0.1,        1.4156159e-12
                0.15,        9.7273491e-12
                 0.2,        6.6582255e-11
                0.25,        4.5181111e-10
                 0.3,        3.0186982e-09
                0.35,        1.9320004e-08
                 0.4,        1.0795536e-07
                0.45,        4.4274434e-07
                 0.5,        1.2563719e-06
                0.55,        2.5991227e-06
                 0.6,        4.3651854e-06

