------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        1.9378548e-10
                0.05,        5.1385008e-10
                 0.1,        1.4607943e-09
                0.15,         4.092341e-09
                 0.2,        1.2042128e-08
                0.25,        3.4503037e-08
                 0.3,        9.9013696e-08
                0.35,        2.6876103e-07
                 0.4,        6.4402427e-07
                0.45,        1.3581195e-06
                 0.5,        2.4765618e-06
                0.55,         3.995205e-06
                 0.6,        5.8566372e-06

