------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        1.7663009e-15
                0.05,        9.7783411e-15
                 0.1,        5.5510853e-14
                0.15,        3.2288877e-13
                 0.2,        1.8489065e-12
                0.25,         8.615768e-12
                 0.3,        4.9738873e-11
                0.35,        2.6971178e-10
                 0.4,        1.4856363e-09
                0.45,        7.9231194e-09
                 0.5,        3.5110186e-08
                0.55,        1.0407611e-07
                 0.6,        2.9357973e-07

