------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        1.7663009e-15
         0.052631579,        1.0644641e-14
          0.10526316,        6.9571718e-14
          0.15789474,        5.0186803e-13
          0.21052632,        2.5680056e-12
          0.26315789,        1.4365112e-11
          0.31578947,        8.0491798e-11
          0.36842105,        5.2595005e-10
          0.42105263,        2.9288518e-09
          0.47368421,        1.5728424e-08
          0.52631579,        6.4733965e-08
          0.57894737,        1.8683948e-07
          0.63157895,        4.6481118e-07
          0.68421053,        9.5308275e-07
          0.73684211,         1.611909e-06
          0.78947368,        2.8480512e-06
          0.84210526,        3.7882083e-06
          0.89473684,        4.6625192e-06
          0.94736842,        4.7288811e-06
                   1,        1.2428015e-05

