------------------------------------------------------------
 Id-Vg at Vd=0.6 and Vs=0
------------------------------------------------------------
Vg (V), Id (A)
                   0,        1.9378548e-10
         0.052631579,        5.4914306e-10
          0.10526316,        1.6358278e-09
          0.15789474,        4.8368694e-09
          0.21052632,        1.4807376e-08
          0.26315789,        4.5679182e-08
          0.31578947,        1.3707354e-07
          0.36842105,         3.731646e-07
          0.42105263,        8.9786679e-07
          0.47368421,        1.8356066e-06
          0.52631579,        3.2294911e-06
          0.57894737,        5.0365408e-06
          0.63157895,        7.1821912e-06
          0.68421053,        9.6102567e-06
          0.73684211,        1.2296381e-05
          0.78947368,        1.5210377e-05
          0.84210526,        1.8400052e-05
          0.89473684,        2.1764672e-05
          0.94736842,        2.5487242e-05
                   1,        2.7952816e-05

